x,y,metric
1528.982896766748,-0.0,Speed
1513.69306779908,17.32011675323341,Speed
1498.403238831413,24.49434401430815,Speed
1483.113409863745,29.99932220962517,Speed
1467.823580896078,34.64023350646682,Speed
1452.53375192841,38.72895843846286,Speed
1437.243922960743,42.42544833085233,Speed
1421.954093993075,45.82472160765908,Speed
1406.664265025408,48.98868802861629,Speed
1391.37443605774,51.96035025970023,Speed
1376.084607090073,54.7710182802581,Speed
1360.794778122405,57.44432859562382,Speed
1345.504949154738,59.99864441925035,Speed
1330.21512018707,62.44856905080594,Speed
1314.925291219403,64.80594278952289,Speed
1299.635462251735,67.08052373964108,Speed
1284.345633284068,69.28046701293364,Speed
1269.0558043164,71.41267082161137,Speed
1253.765975348733,73.48303204292445,Speed
1238.476146381065,75.49663861767024,Speed
1223.186317413398,77.45791687692572,Speed
1207.89648844573,79.37074606716489,Speed
1192.606659478063,81.2385485813478,Speed
1177.316830510395,83.06436191261355,Speed
1162.027001542727,84.85089666170465,Speed
1146.73717257506,86.60058376616706,Speed
1131.447343607392,88.31561330244247,Speed
1116.157514639725,89.99796662887552,Speed
1100.867685672057,91.64944321531816,Speed
1085.57785670439,93.27168319497329,Speed
1070.288027736722,94.86618644369079,Speed
1054.998198769055,96.43432881870822,Speed
1039.708369801387,97.97737605723259,Speed
1024.41854083372,99.49649573430217,Speed
1009.128711866052,100.9927676012082,Speed
993.8388828983848,102.4671925647291,Speed
978.5490539307173,103.9207005194005,Speed
963.2592249630497,105.3541572069587,Speed
947.9693959953822,106.7683702466896,Speed
932.6795670277147,108.1640944559692,Speed
917.3897380600472,109.5420365605162,Speed
902.0999090923797,110.9028593777956,Speed
886.8100801247122,112.2471855438556,Speed
871.5202511570446,113.5756008430613,Speed
856.2304221893771,114.8886571912476,Speed
840.9405932217096,116.1868753153886,Speed
825.6507642540421,117.4707471666852,Speed
810.3609352863746,118.7407380987878,Speed
795.0711063187071,119.9972888385007,Speed
779.7812773510395,121.2408172726339,Speed
764.491448383372,122.4717200715407,Speed
749.2016194157045,123.6903741672224,Speed
733.911790448037,124.8971381016119,Speed
718.6219614803695,126.0923532587077,Speed
703.3321325127019,127.276344992557,Speed
688.0423035450344,128.4494236616499,Speed
672.7524745773669,129.6118855790458,Speed
657.4626456096994,130.7640138864714,Speed
642.1728166420319,131.9060793596979,Speed
626.8829876743644,133.0383411516867,Speed
611.5931587066968,134.1610474792822,Speed
596.3033297390293,135.2744362586067,Speed
581.0135007713618,136.3787356937638,Speed
565.7236718036943,137.4741648229772,Speed
550.4338428360268,138.5609340258673,Speed
535.1440138683593,139.6392454951916,Speed
519.8541849006917,140.7092936760469,Speed
504.5643559330243,141.7712656752336,Speed
489.2745269653568,142.8253416432227,Speed
473.9846979976894,143.8716951309358,Speed
458.6948690300219,144.9104934233355,Speed
443.4050400623544,145.9418978516458,Speed
428.115211094687,146.9660640858489,Speed
412.8253821270195,147.9831424089631,Speed
397.535553159352,148.993277974468,Speed
382.2457241916846,149.9966110481258,Speed
366.9558952240171,150.9932772353405,Speed
351.6660662563497,151.9834076950968,Speed
336.3762372886822,152.9671293414361,Speed
321.0864083210147,153.9445650333434,Speed
305.7965793533473,154.9158337538514,Speed
290.5067503856798,155.8810507791006,Speed
275.2169214180124,156.8403278380347,Speed
259.9270924503449,157.7937732633573,Speed
244.6372634826774,158.7414921343297,Speed
229.3474345150099,159.6835864119387,Speed
214.0576055473424,160.6201550669303,Speed
198.7677765796749,161.5512942011619,Speed
183.4779476120075,162.4770971626955,Speed
168.18811864434,163.3976546550214,Speed
152.8982896766725,164.3130548407742,Speed
137.608460709005,165.2233834402774,Speed
122.3186317413375,166.128723825227,Speed
107.02880277367,167.0291571078061,Speed
91.73897380600256,167.9247622254973,Speed
76.44914483833509,168.8156160218463,Speed
61.15931587066761,169.7017933234092,Speed
45.86948690300014,170.5833670131022,Speed
30.57965793533266,171.4604081001569,Speed
0.0,173.2011675323339,Speed
1528.982896766748,-0.0,KineticEnergy
1513.69306779908,74.99661108640917,KineticEnergy
1498.403238831413,149.9932221728183,KineticEnergy
1483.113409863745,224.9898332592275,KineticEnergy
1467.823580896078,299.9864443456367,KineticEnergy
1452.53375192841,374.9830554320459,KineticEnergy
1437.243922960743,449.9796665184551,KineticEnergy
1421.954093993075,524.9762776048642,KineticEnergy
1406.664265025408,599.9728886912734,KineticEnergy
1391.37443605774,674.9694997776826,KineticEnergy
1376.084607090073,749.9661108640918,KineticEnergy
1360.794778122405,824.962721950501,KineticEnergy
1345.504949154738,899.9593330369102,KineticEnergy
1330.21512018707,974.9559441233193,KineticEnergy
1314.925291219403,1049.952555209728,KineticEnergy
1299.635462251735,1124.949166296138,KineticEnergy
1284.345633284068,1199.945777382547,KineticEnergy
1269.0558043164,1274.942388468956,KineticEnergy
1253.765975348733,1349.938999555365,KineticEnergy
1238.476146381065,1424.935610641774,KineticEnergy
1223.186317413398,1499.932221728184,KineticEnergy
1207.89648844573,1574.928832814593,KineticEnergy
1192.606659478063,1649.925443901002,KineticEnergy
1177.316830510395,1724.922054987411,KineticEnergy
1162.027001542727,1799.91866607382,KineticEnergy
1146.73717257506,1874.915277160229,KineticEnergy
1131.447343607392,1949.911888246639,KineticEnergy
1116.157514639725,2024.908499333048,KineticEnergy
1100.867685672057,2099.905110419457,KineticEnergy
1085.57785670439,2174.901721505866,KineticEnergy
1070.288027736722,2249.898332592275,KineticEnergy
1054.998198769055,2324.894943678685,KineticEnergy
1039.708369801387,2399.891554765094,KineticEnergy
1024.41854083372,2474.888165851503,KineticEnergy
1009.128711866052,2549.884776937912,KineticEnergy
993.8388828983848,2624.881388024321,KineticEnergy
978.5490539307173,2699.87799911073,KineticEnergy
963.2592249630497,2774.87461019714,KineticEnergy
947.9693959953822,2849.871221283549,KineticEnergy
932.6795670277147,2924.867832369958,KineticEnergy
917.3897380600472,2999.864443456367,KineticEnergy
902.0999090923797,3074.861054542776,KineticEnergy
886.8100801247122,3149.857665629185,KineticEnergy
871.5202511570446,3224.854276715595,KineticEnergy
856.2304221893771,3299.850887802004,KineticEnergy
840.9405932217096,3374.847498888413,KineticEnergy
825.6507642540421,3449.844109974822,KineticEnergy
810.3609352863746,3524.840721061231,KineticEnergy
795.0711063187071,3599.837332147641,KineticEnergy
779.7812773510395,3674.83394323405,KineticEnergy
764.491448383372,3749.830554320459,KineticEnergy
749.2016194157045,3824.827165406868,KineticEnergy
733.911790448037,3899.823776493277,KineticEnergy
718.6219614803695,3974.820387579686,KineticEnergy
703.3321325127019,4049.816998666096,KineticEnergy
688.0423035450344,4124.813609752505,KineticEnergy
672.7524745773669,4199.810220838914,KineticEnergy
657.4626456096994,4274.806831925323,KineticEnergy
642.1728166420319,4349.803443011732,KineticEnergy
626.8829876743644,4424.800054098141,KineticEnergy
611.5931587066968,4499.796665184551,KineticEnergy
596.3033297390293,4574.79327627096,KineticEnergy
581.0135007713618,4649.789887357369,KineticEnergy
565.7236718036943,4724.786498443778,KineticEnergy
550.4338428360268,4799.783109530187,KineticEnergy
535.1440138683593,4874.779720616597,KineticEnergy
519.8541849006917,4949.776331703006,KineticEnergy
504.5643559330243,5024.772942789415,KineticEnergy
489.2745269653568,5099.769553875824,KineticEnergy
473.9846979976894,5174.766164962232,KineticEnergy
458.6948690300219,5249.762776048641,KineticEnergy
443.4050400623544,5324.759387135051,KineticEnergy
428.115211094687,5399.755998221459,KineticEnergy
412.8253821270195,5474.752609307868,KineticEnergy
397.535553159352,5549.749220394277,KineticEnergy
382.2457241916846,5624.745831480686,KineticEnergy
366.9558952240171,5699.742442567095,KineticEnergy
351.6660662563497,5774.739053653503,KineticEnergy
336.3762372886822,5849.735664739913,KineticEnergy
321.0864083210147,5924.732275826322,KineticEnergy
305.7965793533473,5999.72888691273,KineticEnergy
290.5067503856798,6074.725497999138,KineticEnergy
275.2169214180124,6149.722109085548,KineticEnergy
259.9270924503449,6224.718720171957,KineticEnergy
244.6372634826774,6299.715331258367,KineticEnergy
229.3474345150099,6374.711942344775,KineticEnergy
214.0576055473424,6449.708553431184,KineticEnergy
198.7677765796749,6524.705164517592,KineticEnergy
183.4779476120075,6599.701775604002,KineticEnergy
168.18811864434,6674.698386690411,KineticEnergy
152.8982896766725,6749.694997776821,KineticEnergy
137.608460709005,6824.69160886323,KineticEnergy
122.3186317413375,6899.688219949639,KineticEnergy
107.02880277367,6974.684831036046,KineticEnergy
91.73897380600256,7049.681442122456,KineticEnergy
76.44914483833509,7124.678053208865,KineticEnergy
61.15931587066761,7199.674664295274,KineticEnergy
45.86948690300014,7274.671275381684,KineticEnergy
30.57965793533266,7349.667886468092,KineticEnergy
0.0,7499.661108640898,KineticEnergy
1528.982896766748,7499.661108640898,PotentialEnergy
1513.69306779908,7424.66449755449,PotentialEnergy
1498.403238831413,7349.667886468081,PotentialEnergy
1483.113409863745,7274.671275381671,PotentialEnergy
1467.823580896078,7199.674664295262,PotentialEnergy
1452.53375192841,7124.678053208853,PotentialEnergy
1437.243922960743,7049.681442122444,PotentialEnergy
1421.954093993075,6974.684831036035,PotentialEnergy
1406.664265025408,6899.688219949626,PotentialEnergy
1391.37443605774,6824.691608863216,PotentialEnergy
1376.084607090073,6749.694997776807,PotentialEnergy
1360.794778122405,6674.698386690397,PotentialEnergy
1345.504949154738,6599.701775603989,PotentialEnergy
1330.21512018707,6524.70516451758,PotentialEnergy
1314.925291219403,6449.70855343117,PotentialEnergy
1299.635462251735,6374.711942344761,PotentialEnergy
1284.345633284068,6299.715331258352,PotentialEnergy
1269.0558043164,6224.718720171943,PotentialEnergy
1253.765975348733,6149.722109085534,PotentialEnergy
1238.476146381065,6074.725497999125,PotentialEnergy
1223.186317413398,5999.728886912715,PotentialEnergy
1207.89648844573,5924.732275826306,PotentialEnergy
1192.606659478063,5849.735664739896,PotentialEnergy
1177.316830510395,5774.739053653488,PotentialEnergy
1162.027001542727,5699.742442567079,PotentialEnergy
1146.73717257506,5624.745831480669,PotentialEnergy
1131.447343607392,5549.74922039426,PotentialEnergy
1116.157514639725,5474.752609307851,PotentialEnergy
1100.867685672057,5399.755998221442,PotentialEnergy
1085.57785670439,5324.759387135033,PotentialEnergy
1070.288027736722,5249.762776048624,PotentialEnergy
1054.998198769055,5174.766164962214,PotentialEnergy
1039.708369801387,5099.769553875805,PotentialEnergy
1024.41854083372,5024.772942789396,PotentialEnergy
1009.128711866052,4949.776331702987,PotentialEnergy
993.8388828983848,4874.779720616578,PotentialEnergy
978.5490539307173,4799.783109530168,PotentialEnergy
963.2592249630497,4724.786498443759,PotentialEnergy
947.9693959953822,4649.78988735735,PotentialEnergy
932.6795670277147,4574.793276270941,PotentialEnergy
917.3897380600472,4499.796665184532,PotentialEnergy
902.0999090923797,4424.800054098123,PotentialEnergy
886.8100801247122,4349.803443011713,PotentialEnergy
871.5202511570446,4274.806831925304,PotentialEnergy
856.2304221893771,4199.810220838895,PotentialEnergy
840.9405932217096,4124.813609752486,PotentialEnergy
825.6507642540421,4049.816998666077,PotentialEnergy
810.3609352863746,3974.820387579668,PotentialEnergy
795.0711063187071,3899.823776493258,PotentialEnergy
779.7812773510395,3824.827165406849,PotentialEnergy
764.491448383372,3749.83055432044,PotentialEnergy
749.2016194157045,3674.833943234031,PotentialEnergy
733.911790448037,3599.837332147622,PotentialEnergy
718.6219614803695,3524.840721061212,PotentialEnergy
703.3321325127019,3449.844109974803,PotentialEnergy
688.0423035450344,3374.847498888394,PotentialEnergy
