x,y,metric
0.0,239.303319799874,Speed
15.28982896766748,238.6757055565043,Speed
30.57965793533496,238.0464366012428,Speed
45.86948690300244,237.4154997766655,Speed
61.15931587066991,236.7828817500502,Speed
76.44914483833739,236.1485690100886,Speed
91.73897380600486,235.5125478635204,Speed
107.0288027736723,234.874804431683,Speed
122.3186317413398,234.2353246469791,Speed
137.6084607090073,233.5940942492555,Speed
152.8982896766748,232.9510987820929,Speed
168.1881186443423,232.3063235890035,Speed
183.4779476120098,231.6597538095324,Speed
198.7677765796772,231.0113743752621,Speed
214.0576055473447,230.3611700057149,Speed
229.3474345150122,229.7091252041508,Speed
244.6372634826797,229.0552242532586,Speed
259.9270924503472,228.3994512107351,Speed
275.2169214180146,227.7417899047501,Speed
290.5067503856821,227.0822239292933,Speed
305.7965793533496,226.4207366393989,Speed
321.086408321017,225.7573111462449,Speed
336.3762372886845,225.0919303121211,Speed
351.6660662563519,224.4245767452646,Speed
366.9558952240194,223.755232794555,Speed
382.2457241916869,223.0838805440677,Speed
397.5355531593543,222.4105018074782,Speed
412.8253821270218,221.7350781223138,Speed
428.1152110946892,221.0575907440479,Speed
443.4050400623567,220.3780206400297,Speed
458.6948690300242,219.6963484832456,Speed
473.9846979976916,219.0125546459062,Speed
489.2745269653591,218.3266191928516,Speed
504.5643559330265,217.6385218747701,Speed
519.854184900694,216.9482421212238,Speed
535.1440138683615,216.255759033473,Speed
550.433842836029,215.5610513770934,Speed
565.7236718036966,214.864097574379,Speed
581.0135007713641,214.1648756965218,Speed
596.3033297390316,213.4633634555611,Speed
611.5931587066991,212.7595381960944,Speed
626.8829876743666,212.0533768867398,Speed
642.1728166420341,211.3448561113425,Speed
657.4626456097017,210.6339520599147,Speed
672.7524745773692,209.9206405192991,Speed
688.0423035450367,209.2048968635466,Speed
703.3321325127042,208.4866960439959,Speed
718.6219614803717,207.766012579045,Speed
733.9117904480393,207.0428205436022,Speed
749.2016194157068,206.3170935582038,Speed
764.4914483833743,205.5888047777869,Speed
779.7812773510418,204.8579268801023,Speed
795.0711063187093,204.1244320537542,Speed
810.3609352863768,203.3882919858517,Speed
825.6507642540444,202.6494778492568,Speed
840.9405932217119,201.907960289412,Speed
856.2304221893794,201.1637094107313,Speed
871.5202511570469,200.416694762536,Speed
886.8100801247144,199.6668853245172,Speed
902.0999090923819,198.914249491705,Speed
917.3897380600495,198.1587550589239,Speed
932.679567027717,197.4003692047129,Speed
947.9693959953845,196.6390584746869,Speed
963.259224963052,195.8747887643167,Speed
978.5490539307195,195.1075253011017,Speed
993.8388828983871,194.3372326261091,Speed
1009.128711866055,193.5638745748514,Speed
1024.418540833722,192.7874142574747,Speed
1039.70836980139,192.0078140382248,Speed
1054.998198769057,191.2250355141603,Speed
1070.288027736725,190.4390394930783,Speed
1085.577856704392,189.6497859706164,Speed
1100.86768567206,188.8572341064937,Speed
1116.157514639727,188.0613421998507,Speed
1131.447343607395,187.2620676636454,Speed
1146.737172575062,186.4593669980622,Speed
1162.02700154273,185.6531957628858,Speed
1177.316830510397,184.8435085487905,Speed
1192.606659478065,184.0302589474925,Speed
1207.896488445732,183.2133995207106,Speed
1223.1863174134,182.3928817678746,Speed
1238.476146381067,181.5686560925212,Speed
1253.765975348735,180.7406717673103,Speed
1269.055804316402,179.9088768975921,Speed
1284.34563328407,179.0732183834515,Speed
1299.635462251737,178.2336418801504,Speed
1314.925291219405,177.3900917568849,Speed
1330.215120187072,176.5425110537698,Speed
1345.50494915474,175.6908414369536,Speed
1360.794778122407,174.8350231517677,Speed
1376.084607090075,173.9749949737993,Speed
1391.374436057743,173.1106941577783,Speed
1406.66426502541,172.2420563841544,Speed
1421.954093993078,171.3690157032379,Speed
1437.243922960745,170.4915044767655,Speed
1452.533751928413,169.6094533167457,Speed
1467.82358089608,168.7227910214257,Speed
1483.113409863748,167.831444508215,Speed
1498.403238831415,166.9353387433841,Speed
1513.693067799083,166.0343966683494,Speed
1528.982896766748,165.128539122337,Speed
0.0,14316.51971681019,KineticEnergy
15.28982896766748,14241.52310572379,KineticEnergy
30.57965793533496,14166.52649463738,KineticEnergy
